id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,max(date)
139844,148544,2625,1/16/15 0:00,61,61,right,medium,medium,50,47,46,52,39,50,51,50,64,62,67,63,74,49,76,68,63,77,56,54,71,64,49,55,66,62,63,54,12,11,6,8,8,1/16/15 0:00
44145,135819,2752,10/16/15 0:00,72,72,right,medium,medium,39,40,82,59,23,41,33,19,61,57,32,34,34,64,39,60,54,62,85,20,84,71,34,55,38,72,74,67,12,7,8,10,16,10/16/15 0:00
88285,110019,2768,3/17/16 0:00,74,74,left,medium,medium,44,45,72,74,31,44,50,22,60,63,51,53,58,77,61,41,79,34,72,20,65,80,40,60,16,76,76,77,12,15,13,14,10,3/17/16 0:00
72142,182861,2770,7/5/13 0:00,69,69,right,medium,low,58,66,64,72,55,70,74,73,70,71,54,48,58,69,65,72,54,47,61,74,64,41,71,68,69,33,43,25,12,13,6,14,15,7/5/13 0:00
5122,110809,2790,8/30/10 0:00,67,77,left,None,7,72,37,51,64,43,64,67,56,62,65,69,72,65,64,67,46,61,56,67,42,74,68,56,60,54,70,73,69,8,14,8,13,12,8/30/10 0:00
78581,198735,2796,1/21/16 0:00,69,69,right,medium,medium,14,12,17,23,13,14,10,11,27,19,54,52,63,64,51,23,83,34,53,11,28,25,13,35,20,14,14,15,81,63,61,60,75,1/21/16 0:00
137849,179591,2802,11/19/15 0:00,76,76,right,high,medium,76,71,53,70,65,85,83,77,69,81,78,77,84,69,80,76,67,59,51,77,54,49,73,74,72,42,47,36,13,16,9,9,7,11/19/15 0:00
154443,190156,2805,4/28/16 0:00,76,77,right,medium,medium,53,44,57,79,27,59,56,58,70,73,66,63,64,76,71,80,74,77,77,72,82,84,59,76,51,61,82,65,11,8,13,9,15,4/28/16 0:00
74153,192720,2857,4/11/14 0:00,65,67,left,medium,low,71,54,44,60,58,71,77,68,68,72,61,54,73,59,81,71,65,52,58,65,45,41,59,69,60,28,36,23,12,8,15,6,11,4/11/14 0:00
176569,140141,2862,11/26/15 0:00,72,72,left,high,medium,69,64,58,67,69,71,71,71,65,74,79,84,88,71,75,74,78,34,55,69,41,38,69,67,75,22,18,20,11,15,7,10,6,11/26/15 0:00
66770,53023,2907,2/15/13 0:00,65,65,left,medium,medium,72,29,53,71,57,66,62,70,63,72,66,65,81,61,90,58,32,69,31,52,56,51,61,73,53,29,41,55,11,8,10,5,8,2/15/13 0:00
175147,48738,2973,1/14/16 0:00,68,68,right,medium,medium,66,57,62,72,58,62,59,64,71,74,54,64,66,70,52,71,56,66,72,72,74,68,62,66,54,61,62,48,8,8,11,11,6,1/14/16 0:00
40325,134594,2977,5/24/13 0:00,62,62,right,low,medium,40,41,72,41,20,40,30,35,54,44,29,27,45,48,44,58,58,52,91,45,73,58,32,48,34,62,65,51,7,14,11,9,10,5/24/13 0:00
87677,154472,2983,10/16/15 0:00,75,75,right,medium,medium,49,76,82,64,76,61,55,59,53,74,43,52,49,76,33,83,64,67,91,72,76,41,84,58,78,30,32,19,6,14,8,13,14,10/16/15 0:00
160905,111106,2984,9/20/13 0:00,65,65,right,medium,medium,25,25,25,28,25,25,25,25,23,29,63,62,64,67,63,31,76,39,68,25,35,21,25,25,29,25,25,25,70,60,63,59,71,9/20/13 0:00
8188,49467,3140,2/22/11 0:00,66,71,left,None,o,60,53,64,69,54,65,63,51,68,68,72,73,74,72,67,64,68,78,67,66,68,69,30,68,63,57,62,61,15,13,8,10,7,2/22/11 0:00
109380,147455,3204,7/3/15 0:00,73,73,right,medium,low,70,66,58,73,65,76,75,70,71,79,72,70,78,74,85,77,54,33,62,73,56,45,67,73,69,23,43,31,8,14,9,11,11,7/3/15 0:00
94535,52031,3263,8/30/09 0:00,67,68,left,,_0,55,44,60,63,,53,,46,49,56,65,70,,66,,58,,76,75,37,71,65,63,,64,65,66,,6,20,49,20,20,8/30/09 0:00
452,51868,3264,8/30/10 0:00,62,73,right,,_0,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,30,74,66,41,30,34,36,13,7,7,9,13,8/30/10 0:00
136895,146501,3316,9/20/13 0:00,67,67,left,high,medium,79,54,75,56,41,62,73,67,68,64,67,68,68,69,65,77,75,76,69,57,80,64,63,60,57,55,66,70,7,11,7,8,7,9/20/13 0:00
177401,51479,3329,2/22/12 0:00,64,65,right,medium,medium,42,25,65,63,34,34,32,48,58,55,47,54,49,61,56,56,62,70,69,40,60,70,28,52,52,63,64,62,6,12,13,10,13,2/22/12 0:00
103705,102084,3377,11/26/15 0:00,68,68,right,high,medium,69,57,47,73,59,67,63,69,69,73,70,70,82,69,70,63,78,70,70,67,55,49,67,69,56,40,50,50,7,12,6,6,15,11/26/15 0:00
5948,167285,3441,9/20/13 0:00,65,65,right,medium,medium,55,34,61,60,46,58,46,40,62,60,49,47,52,68,70,60,63,60,71,58,75,71,52,64,40,66,65,63,9,15,12,12,14,9/20/13 0:00
142568,53071,3512,2/22/13 0:00,65,65,left,medium,medium,68,62,42,61,60,70,63,61,62,67,71,69,70,58,70,62,50,67,47,49,57,62,62,62,65,56,59,60,5,6,15,13,12,2/22/13 0:00
8044,109416,3517,4/14/16 0:00,77,77,right,high,medium,71,70,72,77,72,71,67,79,70,79,76,78,74,77,71,83,83,77,69,73,79,35,81,76,80,41,22,20,13,14,13,16,12,4/14/16 0:00
13261,147777,3520,1/28/16 0:00,75,75,right,low,low,74,71,47,77,70,76,73,76,75,79,70,74,80,67,86,71,53,54,65,73,47,27,76,81,68,22,28,27,9,11,13,7,15,1/28/16 0:00
100402,139578,4747,8/30/09 0:00,73,79,right,,_0,23,23,76,55,,21,,16,48,67,42,42,,53,,42,,76,88,22,76,56,58,,62,79,76,,11,23,48,23,23,8/30/09 0:00
21935,142579,4863,2/22/12 0:00,66,66,right,medium,medium,38,27,71,51,32,32,33,26,56,48,43,40,31,61,34,43,30,66,89,36,71,63,23,31,32,68,69,63,6,13,13,13,9,2/22/12 0:00
73113,135820,4902,10/2/14 0:00,69,69,right,medium,high,53,49,52,66,57,66,63,60,64,71,65,64,66,70,70,69,73,75,74,64,89,73,58,64,52,57,72,66,10,7,7,7,9,10/2/14 0:00
171628,163582,4939,3/10/16 0:00,57,57,right,medium,high,51,16,62,55,12,42,35,16,46,54,61,70,58,52,54,15,63,60,85,19,84,57,44,50,18,59,56,52,11,12,14,15,12,3/10/16 0:00
159626,138380,4999,2/20/15 0:00,57,57,right,medium,medium,39,62,66,49,51,48,31,36,35,62,64,58,36,39,74,62,76,59,69,39,48,21,55,52,47,25,25,25,5,14,6,7,11,2/20/15 0:00
71763,208966,5016,5/5/16 0:00,65,65,right,high,medium,64,25,44,57,30,58,35,29,62,65,76,76,75,63,67,49,59,76,63,49,81,53,46,59,39,65,67,68,13,8,13,7,9,5/5/16 0:00
81064,137692,5044,9/18/14 0:00,65,65,right,medium,medium,25,25,25,33,25,25,25,25,28,28,28,28,47,69,25,33,50,36,74,25,31,25,25,25,23,25,25,25,57,67,70,65,71,9/18/14 0:00
179575,54053,5047,3/28/13 0:00,61,61,right,medium,medium,15,14,13,29,12,12,13,13,34,22,40,45,33,59,38,21,69,46,66,17,20,16,14,20,24,11,13,13,58,68,63,68,52,3/28/13 0:00
157414,148866,5063,9/18/14 0:00,67,67,left,medium,high,56,55,66,66,53,58,72,74,62,64,59,45,56,66,48,72,45,80,75,71,81,66,59,70,76,58,66,66,9,13,13,11,15,9/18/14 0:00
67178,103288,5184,2/22/09 0:00,62,67,right,,_0,57,62,67,58,,61,,55,40,57,63,65,,51,,71,,64,66,61,38,58,47,,42,20,20,,8,20,40,20,20,2/22/09 0:00
109237,13119,5192,8/30/10 0:00,72,74,right,None,o,67,69,69,73,64,68,57,67,69,74,75,74,80,73,72,71,72,76,71,69,71,31,74,75,57,58,60,51,6,5,15,7,8,8/30/10 0:00
147614,112352,5202,5/5/16 0:00,71,71,right,low,high,53,53,67,70,48,56,38,55,65,70,51,43,42,68,69,70,64,77,83,65,81,75,49,63,49,60,75,69,16,7,14,11,8,5/5/16 0:00
99387,117096,5217,2/22/12 0:00,73,73,right,medium,medium,74,64,61,78,70,74,75,75,71,77,48,54,74,70,71,78,66,52,62,78,68,42,67,78,63,33,47,36,7,8,15,11,8,2/22/12 0:00
146028,137425,5223,1/17/14 0:00,62,62,right,medium,low,41,60,64,55,49,59,52,42,45,62,66,55,79,58,62,65,62,55,76,55,37,31,71,48,60,25,25,25,9,8,13,10,12,1/17/14 0:00
71664,112888,5233,8/30/10 0:00,63,74,right,None,o,33,21,59,54,24,36,15,34,52,58,56,57,54,58,63,51,57,61,70,38,67,61,28,52,43,63,70,64,10,10,14,15,5,8/30/10 0:00
91953,50429,5243,1/14/16 0:00,69,69,right,medium,low,81,61,53,71,48,69,75,78,73,71,64,66,72,59,68,71,56,34,60,74,56,39,64,73,82,22,41,25,10,10,6,10,16,1/14/16 0:00
142408,112560,5247,2/22/12 0:00,64,64,right,medium,medium,51,53,77,73,58,61,70,47,61,68,47,33,46,66,57,64,27,49,74,43,59,64,61,72,70,53,59,48,13,14,10,15,12,2/22/12 0:00
61344,169584,5272,4/21/16 0:00,67,67,right,medium,medium,54,45,65,67,52,57,58,53,66,65,51,52,52,65,51,64,65,68,85,60,71,68,50,62,59,62,67,61,12,12,7,6,11,4/21/16 0:00
72107,188511,5362,2/22/10 0:00,60,66,right,,_0,55,59,57,58,,71,,56,53,66,70,71,,61,,62,,60,54,54,57,54,55,,54,49,56,,2,22,53,22,22,2/22/10 0:00
114366,122118,5440,2/13/15 0:00,65,65,right,medium,medium,25,25,25,36,25,25,25,25,28,26,44,45,49,66,43,28,78,28,70,25,45,25,25,25,31,25,25,25,67,62,65,65,65,2/13/15 0:00
59628,190326,5468,8/30/11 0:00,61,64,right,medium,low,39,61,71,46,58,46,34,43,27,51,53,62,48,63,45,65,53,58,88,51,61,24,68,48,60,12,19,18,12,9,5,15,7,8/30/11 0:00
181070,137960,5610,2/25/16 0:00,75,75,left,high,medium,80,65,63,78,62,75,71,76,76,78,68,74,73,78,75,68,50,63,47,68,61,54,73,76,73,50,52,41,11,16,6,12,10,2/25/16 0:00
21313,112251,5629,8/31/12 0:00,68,68,left,medium,medium,69,46,59,68,63,66,64,71,64,72,71,62,69,63,76,73,59,65,60,63,48,42,67,72,69,35,24,18,7,6,12,10,6,8/31/12 0:00
80507,157300,5631,9/18/14 0:00,65,65,right,medium,low,41,66,71,56,52,60,48,50,37,64,66,69,70,63,56,63,56,74,77,53,50,26,69,57,61,30,25,33,6,6,12,5,12,9/18/14 0:00
44669,148196,5662,11/15/13 0:00,67,67,right,medium,low,40,72,78,62,62,45,54,29,40,63,51,56,40,69,33,73,34,58,86,50,46,32,78,64,72,25,38,26,9,10,7,10,14,11/15/13 0:00
63227,24413,5686,2/22/11 0:00,65,66,right,None,o,66,19,47,63,39,41,39,11,64,60,66,66,65,66,62,58,65,73,68,22,67,69,28,67,38,67,67,66,15,11,13,7,13,2/22/11 0:00
153991,139878,5687,2/22/11 0:00,64,72,left,None,o,63,60,67,54,37,75,55,45,45,65,70,75,69,68,56,58,65,74,69,61,70,46,61,53,79,55,54,58,11,12,6,10,13,2/22/11 0:00
94210,138373,5693,3/21/14 0:00,67,67,left,medium,medium,68,54,73,68,55,62,44,55,70,66,50,53,55,64,53,74,77,69,77,63,70,69,59,52,63,63,68,58,8,8,9,10,15,3/21/14 0:00
27569,162970,5700,2/22/10 0:00,65,70,right,,_0,61,68,51,56,,67,,54,45,63,74,75,,73,,68,,66,64,65,61,62,59,,56,30,33,,14,21,45,21,21,2/22/10 0:00
137150,162408,5703,4/11/14 0:00,69,69,right,medium,medium,62,65,61,70,69,68,65,61,69,70,67,66,70,71,65,66,59,71,72,68,27,50,71,70,69,41,37,32,8,9,7,14,15,4/11/14 0:00
43531,9833,5710,10/30/15 0:00,70,70,right,medium,medium,15,11,11,31,14,14,12,12,22,29,31,43,36,67,41,28,45,40,64,16,31,23,14,29,46,13,13,12,68,72,55,75,71,10/30/15 0:00
42428,122938,6757,3/28/14 0:00,60,60,right,medium,medium,50,38,62,58,47,52,31,37,53,56,56,55,46,58,41,43,45,69,82,21,61,65,23,46,45,59,61,58,5,14,5,13,5,3/28/14 0:00
135838,155837,6771,2/22/11 0:00,60,63,right,,_0,51,39,54,58,36,43,36,37,54,53,68,66,63,61,73,60,65,67,66,41,68,60,43,52,44,58,62,63,12,10,12,7,10,2/22/11 0:00
152111,178707,6798,8/31/12 0:00,60,61,right,medium,medium,52,26,57,49,39,35,27,27,45,42,59,67,55,55,55,58,60,72,77,27,74,62,27,35,31,62,65,63,15,9,12,5,14,8/31/12 0:00
85342,136110,6800,7/18/14 0:00,64,64,right,medium,medium,36,30,67,64,28,35,31,45,64,58,34,48,34,58,56,60,42,60,80,35,70,68,27,42,65,62,65,59,6,8,8,10,8,7/18/14 0:00
23214,152027,6803,8/30/09 0:00,63,65,right,,_0,50,46,65,63,,48,,32,58,52,53,63,,65,,54,,70,65,46,77,58,71,,43,57,60,,10,25,58,25,25,8/30/09 0:00
